n,MotherID,FatherID,Zygosity
100001,200001,300001,NotMZ
100002,200002,300002,NotMZ
100003,200003,300003,NotMZ
100004,200004,300004,NotMZ
100005,200005,300005,NotMZ
100006,200006,300006,NotMZ
100007,200007,300007,MZ
100008,200008,300008,NotMZ
100009,200009,300009,NotMZ
100010,200010,300010,NotMZ
100011,200011,300011,NotMZ
100012,200012,300012,MZ
100013,200013,300013,MZ
100014,200014,300014,NotMZ
100015,200015,300015,NotMZ
100016,200016,300016,MZ
100017,200017,300017,MZ
100018,200018,300018,NotMZ
100019,200019,300019,NotMZ
100020,200020,300020,NotMZ
100021,200021,300021,MZ
100022,200022,300022,MZ
100023,200023,300023,MZ
100024,200024,300024,NotMZ
100025,200025,300025,NotMZ
100026,200026,300026,MZ
100027,200027,300027,MZ
100028,200028,300028,MZ
100029,200029,300029,NotMZ
100030,200030,300030,NotMZ
100031,200031,300031,NotMZ
100032,200032,300032,MZ
100033,200033,300033,MZ
100034,200012,300012,MZ
100035,200034,300034,NotMZ
100036,200035,300035,MZ
100037,200036,300036,MZ
100038,200037,300037,NotMZ
100039,200038,300038,MZ
100040,200039,300039,NotMZ
100041,200040,300040,MZ
100042,200041,300041,NotTwin
100043,200007,300007,MZ
100044,200042,300042,NotMZ
100045,200043,300043,MZ
100046,200044,300044,NotTwin
100047,200038,300038,MZ
100048,200045,300045,NotMZ
100049,200046,300046,MZ
100050,200047,300047,NotTwin
100051,200048,300048,MZ
100052,200049,300049,MZ
100053,200050,300050,NotMZ
100054,200051,300051,MZ
100055,200003,300003,NotMZ
100056,200052,300052,MZ
100057,200053,300053,MZ
100058,200054,300054,MZ
100059,200020,300020,NotMZ
100060,200055,300055,MZ
100061,200056,300056,NotMZ
100062,200057,300057,NotMZ
100063,200058,300058,NotMZ
100064,200059,300059,MZ
100065,200060,300060,MZ
100066,200061,300061,NotMZ
100067,200062,300062,MZ
100068,200063,300063,MZ
100069,200061,300061,NotMZ
100070,200064,300064,NotMZ
100071,200065,300065,MZ
100072,200066,300066,NotMZ
100073,200067,300067,NotMZ
100074,200030,300030,NotMZ
100075,200068,300068,NotMZ
100076,200069,300069,MZ
100077,200070,300070,MZ
100078,200071,300071,NotMZ
100079,200072,300072,NotMZ
100080,200073,300073,NotMZ
100081,200074,300074,NotMZ
100082,200075,300075,NotMZ
100083,200076,300076,NotMZ
100084,200077,300077,MZ
100085,200078,300078,MZ
100086,200034,300034,NotMZ
100087,200079,300079,NotTwin
100088,200080,300080,NotMZ
100089,200001,300001,NotMZ
100090,200081,300081,NotMZ
100091,200082,300082,MZ
100092,200083,300083,NotTwin
100093,200044,300044,NotTwin
100094,200079,300079,NotTwin
100095,200084,300084,MZ
100096,200085,300085,NotMZ
100097,200086,300086,NotMZ
100098,200087,300087,NotMZ
100099,200060,300060,MZ
100100,200088,300088,MZ
100101,200089,300089,MZ
100102,200090,300090,NotMZ
100103,200091,300091,NotMZ
100104,200092,300092,NotMZ
100105,200093,300093,NotMZ
100106,200094,300094,MZ
100107,200095,300095,NotMZ
100108,200037,300037,NotMZ
100109,200068,300068,NotMZ
100110,200096,300096,NotMZ
100111,200046,300046,MZ
100112,200097,300097,NotTwin
100113,200098,300098,NotMZ
100114,200099,300099,MZ
100115,200100,300100,NotMZ
100116,200101,300101,MZ
100117,200070,300070,MZ
100118,200045,300045,NotMZ
100119,200074,300074,NotMZ
100120,200102,300102,MZ
100121,200026,300026,MZ
100122,200103,300103,MZ
100123,200104,300104,MZ
100124,200010,300010,NotMZ
100125,200105,300105,NotTwin
100126,200106,300106,MZ
100127,200107,300107,MZ
100128,200092,300092,NotMZ
100129,200098,300098,NotMZ
100130,200108,300108,MZ
100131,200100,300100,NotMZ
100132,200102,300102,NotTwin
100133,200085,300085,NotMZ
100134,200050,300050,NotMZ
100135,200109,300109,MZ
100136,200018,300018,NotMZ
100137,200083,300083,NotTwin
100138,200110,300110,NotMZ
100139,200111,300111,NotMZ
100140,200112,300112,NotTwin
100141,200113,300113,MZ
100142,200114,300114,NotMZ
100143,200115,300115,MZ
100144,200116,300116,NotTwin
100145,200117,300117,NotMZ
100146,200118,300118,NotTwin
100147,200023,300023,MZ
100148,200116,300116,NotTwin
100149,200119,300119,MZ
100150,200120,300120,MZ
100151,200121,300121,MZ
100152,200122,300122,MZ
100153,200065,300065,MZ
100154,200123,300123,NotMZ
100155,200124,300124,NotMZ
100156,200125,300125,NotTwin
100157,200084,300084,MZ
100158,200126,300126,NotMZ
100159,200127,300127,MZ
100160,200128,300128,NotMZ
100161,200129,300129,NotMZ
100162,200130,300130,NotMZ
100163,200131,300131,NotMZ
100164,200132,300132,NotMZ
100165,200133,300133,NotTwin
100166,200134,300134,NotMZ
100167,200135,300135,MZ
100168,200086,300086,NotMZ
100169,200112,300112,NotTwin
100170,200072,300072,NotMZ
100171,200136,300136,MZ
100172,200099,300099,MZ
100173,200137,300137,NotMZ
100174,200138,300138,MZ
100175,200103,300103,MZ
100176,200139,300139,MZ
100177,200140,300140,NotMZ
100178,200141,300141,NotMZ
100179,200142,300142,NotMZ
100180,200094,300094,MZ
100181,200143,300143,MZ
100182,200120,300120,MZ
100183,200144,300144,MZ
100184,200093,300093,NotMZ
100185,200145,300145,MZ
100186,200146,300146,NotMZ
100187,200147,300147,NotMZ
100188,200148,300148,MZ
100189,200002,300002,NotMZ
100190,200149,300149,NotTwin
100191,200150,300150,MZ
100192,200125,300125,NotTwin
100193,200151,300151,MZ
100194,200152,300152,NotMZ
100195,200153,300153,MZ
100196,200154,300154,NotMZ
100197,200024,300024,NotMZ
100198,200147,300147,NotMZ
100199,200121,300121,MZ
100200,200155,300155,NotTwin
100201,200105,300105,NotTwin
100202,200114,300114,NotMZ
100203,200011,300011,NotMZ
100204,200132,300132,NotMZ
100205,200144,300144,MZ
100206,200119,300119,MZ
100207,200156,300156,MZ
100208,200157,300157,NotMZ
100209,200141,300141,NotMZ
100210,200142,300142,NotMZ
100211,200158,300158,MZ
100212,200042,300042,NotMZ
100213,200159,300159,NotMZ
100214,200160,300160,MZ
100215,200161,300161,MZ
100216,200162,300162,MZ
100217,200163,300163,NotMZ
100218,200159,300159,NotMZ
100219,200164,300164,NotMZ
100220,200041,300041,NotTwin
100221,200165,300165,MZ
100222,200166,300166,NotMZ
100223,200167,300167,MZ
100224,200168,300168,MZ
100225,200073,300073,NotMZ
100226,200169,300169,MZ
100227,200170,300170,NotMZ
100228,200004,300004,NotMZ
100229,200171,300171,NotMZ
100230,200169,300169,MZ
100231,200162,300162,MZ
100232,200097,300097,NotTwin
100233,200058,300058,NotMZ
100234,200172,300172,NotMZ
100235,200156,300156,MZ
100236,200128,300128,NotMZ
100237,200173,300173,NotMZ
100238,200174,300174,NotMZ
100239,200175,300175,NotMZ
100240,200035,300035,MZ
100241,200022,300022,MZ
100242,200043,300043,MZ
100243,200021,300021,MZ
100244,200059,300059,MZ
100245,200056,300056,NotMZ
100246,200176,300176,MZ
100247,200149,300149,NotTwin
100248,200109,300109,MZ
100249,200080,300080,NotMZ
100250,200115,300115,MZ
100251,200126,300126,NotMZ
100252,200062,300062,MZ
100253,200177,300177,MZ
100254,200178,300178,MZ
100255,200179,300179,NotMZ
100256,200180,300180,MZ
100257,200181,300181,NotMZ
100258,200025,300025,NotMZ
100259,200182,300182,NotMZ
100260,200183,300183,NotMZ
100261,200184,300184,MZ
100262,200145,300145,MZ
100263,200143,300143,MZ
100264,200152,300152,NotMZ
100265,200127,300127,MZ
100266,200185,300185,NotMZ
100267,200048,300048,MZ
100268,200069,300069,MZ
100269,200117,300117,NotMZ
100270,200176,300176,MZ
100271,200166,300166,NotMZ
100272,200029,300029,NotMZ
100273,200136,300136,MZ
100274,200053,300053,MZ
100275,200186,300186,NotTwin
100276,200187,300187,NotMZ
100277,200111,300111,NotMZ
100278,200102,300102,MZ
100279,200187,300187,NotMZ
100280,200032,300032,MZ
100281,200188,300188,NotMZ
100282,200189,300189,NotMZ
100283,200190,300190,NotMZ
100284,200191,300191,MZ
100285,200182,300182,NotMZ
100286,200160,300160,MZ
100287,200106,300106,MZ
100288,200177,300177,MZ
100289,200019,300019,NotMZ
100290,200016,300016,MZ
100291,200157,300157,NotMZ
100292,200192,300192,NotTwin
100293,200193,300193,NotMZ
100294,200194,300194,NotMZ
100295,200063,300063,MZ
100296,200195,300195,MZ
100297,200091,300091,NotMZ
100298,200196,300196,NotMZ
100299,200128,300128,NotMZ
100300,200013,300013,MZ
100301,200078,300078,MZ
100302,200197,300197,MZ
100303,200130,300130,NotMZ
100304,200192,300192,NotTwin
100305,200198,300198,NotMZ
100306,200158,300158,MZ
100307,200118,300118,NotTwin
100308,200199,300199,MZ
100309,200108,300108,MZ
100310,200200,300200,NotMZ
100311,200185,300185,NotMZ
100312,200096,300096,NotMZ
100313,200201,300201,NotMZ
100314,200133,300133,NotTwin
100315,200131,300131,NotMZ
100316,200031,300031,NotMZ
100317,200104,300104,MZ
100318,200052,300052,MZ
100319,200202,300202,NotMZ
100320,200203,300203,NotMZ
100321,200204,300204,MZ
100322,200205,300205,NotMZ
100323,200129,300129,NotMZ
100324,200179,300179,NotMZ
100325,200206,300206,MZ
100326,200064,300064,NotMZ
100327,200207,300207,MZ
100328,200051,300051,MZ
100329,200208,300208,NotMZ
100330,200008,300008,NotMZ
100331,200009,300009,NotMZ
100332,200200,300200,NotMZ
100333,200028,300028,MZ
100334,200137,300137,NotMZ
100335,200087,300087,NotMZ
100336,200088,300088,MZ
100337,200209,300209,NotTwin
100338,200015,300015,NotMZ
100339,200049,300049,MZ
100340,200155,300155,NotTwin
100341,200210,300210,NotMZ
100342,200211,300211,NotMZ
100343,200146,300146,NotMZ
100344,200121,300121,NotTwin
100345,200027,300027,MZ
100346,200201,300201,NotMZ
100347,200212,300212,NotMZ
100348,200189,300189,NotTwin
100349,200213,300213,NotMZ
100350,200173,300173,NotMZ
100351,200161,300161,MZ
100352,200184,300184,MZ
100353,200167,300167,MZ
100354,200170,300170,NotMZ
100355,200153,300153,MZ
100356,200033,300033,MZ
100357,200213,300213,NotMZ
100358,200054,300054,MZ
100359,200040,300040,MZ
100360,200134,300134,NotMZ
100361,200067,300067,NotMZ
100362,200214,300214,NotMZ
100363,200211,300211,NotMZ
100364,200215,300215,NotMZ
100365,200204,300204,MZ
100366,200082,300082,MZ
100367,200178,300178,MZ
100368,200214,300214,NotMZ
100369,200198,300198,NotMZ
100370,200005,300005,NotMZ
100371,200122,300122,MZ
100372,200077,300077,MZ
100373,200209,300209,NotTwin
100374,200172,300172,NotMZ
100375,200207,300207,MZ
100376,200070,300070,NotTwin
100377,200164,300164,NotMZ
100378,200036,300036,MZ
100379,200181,300181,NotMZ
100380,200183,300183,NotMZ
100381,200081,300081,NotMZ
100382,200071,300071,NotMZ
100383,200095,300095,NotMZ
100384,200189,300189,NotMZ
100385,200089,300089,MZ
100386,200203,300203,NotMZ
100387,200138,300138,MZ
100388,200206,300206,MZ
100389,200191,300191,MZ
100390,200212,300212,NotMZ
100391,200196,300196,NotMZ
100392,200215,300215,NotMZ
100393,200124,300124,NotMZ
100394,200174,300174,NotMZ
100395,200216,300216,MZ
100396,200217,300217,MZ
100397,200218,300218,MZ
100398,200140,300140,NotMZ
100399,200195,300195,MZ
100400,200190,300190,NotMZ
100401,200076,300076,NotMZ
100402,200135,300135,MZ
100403,200101,300101,MZ
100404,200216,300216,MZ
100405,200171,300171,NotMZ
100406,200218,300218,MZ
100407,200202,300202,NotMZ
100408,200113,300113,MZ
100409,200165,300165,MZ
100410,200139,300139,MZ
100411,200006,300006,NotMZ
100412,200055,300055,MZ
100413,200217,300217,MZ
100414,200205,300205,NotMZ
100415,200193,300193,NotMZ
100416,200066,300066,NotMZ
100417,200154,300154,NotMZ
100418,200148,300148,MZ
100419,200219,300219,NotMZ
100420,200188,300188,NotMZ
100421,200057,300057,NotMZ
100422,200219,300219,NotMZ
100423,200056,300056,NotMZ
100424,200180,300180,MZ
100425,200017,300017,MZ
100426,200186,300186,NotTwin
100427,200194,300194,NotMZ
100428,200163,300163,NotMZ
100429,200208,300208,NotMZ
100430,200123,300123,NotMZ
100431,200014,300014,NotMZ
100432,200210,300210,NotMZ
100433,200075,300075,NotMZ
100434,200199,300199,MZ
100435,200150,300150,MZ
100436,200090,300090,NotMZ
100437,200151,300151,MZ
100438,200197,300197,MZ
100439,200168,300168,MZ
100440,200107,300107,MZ
100441,200039,300039,NotMZ
100442,200175,300175,NotMZ
100443,200110,300110,NotMZ
100444,200047,300047,NotTwin
