n,MotherID,FatherID,Zygosity
100001,200001,300001,NotMZ
100002,200002,300002,NotMZ
100003,200003,300003,NotMZ
100004,200004,300004,MZ
100005,200005,300005,NotMZ
100006,200006,300006,NotTwin
100007,200007,300007,NotMZ
100008,200008,300008,NotMZ
100009,200009,300009,NotTwin
100010,200010,300010,NotMZ
100011,200011,300011,NotTwin
100012,200012,300012,MZ
100013,200013,300013,NotTwin
100014,200014,300014,NotTwin
100015,200015,300015,NotTwin
100016,200016,300016,NotTwin
100017,200017,300017,NotTwin
100018,200018,300018,NotTwin
100019,200019,300019,NotMZ
100020,200020,300020,NotTwin
100021,200021,300021,NotTwin
100022,200022,300022,NotMZ
100023,200023,300023,NotMZ
100024,200024,300024,NotTwin
100025,200025,300025,NotTwin
100026,200026,300026,NotMZ
100027,200027,300027,NotMZ
100028,200028,300028,MZ
100029,200029,300029,MZ
100030,200030,300030,NotTwin
100031,200031,300031,NotMZ
100032,200032,300032,NotMZ
100033,200033,300033,NotTwin
100034,200034,300034,MZ
100035,200035,300035,NotTwin
100036,200036,300036,NotTwin
100037,200037,300037,MZ
100038,200038,300038,NotTwin
100039,200039,300039,NotTwin
100040,200040,300040,NotMZ
100041,200041,300041,NotMZ
100042,200042,300042,NotTwin
100043,200043,300043,NotMZ
100044,200044,300044,NotTwin
100045,200045,300045,MZ
100046,200046,300046,NotTwin
100047,200047,300047,MZ
100048,200048,300048,MZ
100049,200049,300049,NotTwin
100050,200050,300050,NotMZ
100051,200051,300051,NotMZ
100052,200052,300052,NotTwin
100053,200053,300053,MZ
100054,200054,300054,MZ
100055,200055,300055,NotTwin
100056,200033,300033,NotTwin
100057,200056,300056,NotTwin
100058,200057,300057,NotTwin
100059,200058,300058,NotTwin
100060,200059,300059,NotTwin
100061,200060,300060,MZ
100062,200061,300061,NotTwin
100063,200062,300062,NotTwin
100064,200063,300063,NotMZ
100065,200064,300064,MZ
100066,200065,300065,NotTwin
100067,200066,300066,NotTwin
100068,200067,300067,NotMZ
100069,200068,300068,NotTwin
100070,200069,300069,NotMZ
100071,200070,300070,NotMZ
100072,200071,300071,MZ
100073,200072,300072,NotTwin
100074,200073,300073,MZ
100075,200028,300028,MZ
100076,200074,300074,NotMZ
100077,200075,300075,NotTwin
100078,200076,300076,NotTwin
100079,200077,300077,NotTwin
100080,200078,300078,MZ
100081,200079,300079,MZ
100082,200080,300080,NotTwin
100083,200081,300081,NotTwin
100084,200082,300082,NotTwin
100085,200083,300083,NotMZ
100086,200084,300084,MZ
100087,200085,300085,NotMZ
100088,200086,300086,MZ
100089,200087,300087,MZ
100090,200088,300088,NotTwin
100091,200089,300089,NotTwin
100092,200012,300012,MZ
100093,200090,300090,NotMZ
100094,200091,300091,MZ
100095,200092,300092,NotTwin
100096,200093,300093,NotTwin
100097,200084,300084,MZ
100098,200094,300094,NotTwin
100099,200095,300095,NotMZ
100100,200096,300096,MZ
100101,200097,300097,NotTwin
100102,200098,300098,MZ
100103,200099,300099,MZ
100104,200100,300100,NotTwin
100105,200101,300101,NotMZ
100106,200102,300102,NotTwin
100107,200103,300103,MZ
100108,200003,300003,NotMZ
100109,200104,300104,MZ
100110,200105,300105,MZ
100111,200106,300106,MZ
100112,200043,300043,NotMZ
100113,200107,300107,MZ
100114,200108,300108,NotTwin
100115,200109,300109,NotMZ
100116,200110,300110,NotMZ
100117,200111,300111,NotTwin
100118,200112,300112,NotTwin
100119,200113,300113,NotTwin
100120,200114,300114,NotTwin
100121,200115,300115,NotMZ
100122,200116,300116,NotTwin
100123,200117,300117,NotMZ
100124,200118,300118,MZ
100125,200119,300119,MZ
100126,200120,300120,NotTwin
100127,200121,300121,NotTwin
100128,200009,300009,NotTwin
100129,200122,300122,NotMZ
100130,200123,300123,MZ
100131,200124,300124,MZ
100132,200125,300125,NotTwin
100133,200122,300122,NotMZ
100134,200126,300126,MZ
100135,200127,300127,NotMZ
100136,200128,300128,NotTwin
100137,200129,300129,NotTwin
100138,200130,300130,NotTwin
100139,200131,300131,MZ
100140,200132,300132,NotTwin
100141,200133,300133,NotMZ
100142,200134,300134,NotMZ
100143,200135,300135,NotTwin
100144,200069,300069,NotMZ
100145,200116,300116,NotTwin
100146,200136,300136,NotMZ
100147,200137,300137,MZ
100148,200138,300138,NotTwin
100149,200139,300139,MZ
100150,200140,300140,NotTwin
100151,200141,300141,MZ
100152,200142,300142,NotTwin
100153,200143,300143,MZ
100154,200144,300144,NotMZ
100155,200145,300145,NotMZ
100156,200146,300146,NotMZ
100157,200147,300147,NotMZ
100158,200148,300148,NotTwin
100159,200149,300149,NotMZ
100160,200150,300150,NotMZ
100161,200151,300151,NotTwin
100162,200152,300152,MZ
100163,200153,300153,MZ
100164,200154,300154,NotTwin
100165,200125,300125,NotTwin
100166,200155,300155,NotTwin
100167,200074,300074,NotMZ
100168,200156,300156,NotTwin
100169,200157,300157,NotTwin
100170,200158,300158,NotMZ
100171,200001,300001,NotMZ
100172,200159,300159,NotTwin
100173,200160,300160,NotMZ
100174,200161,300161,NotTwin
100175,200162,300162,NotTwin
100176,200163,300163,MZ
100177,200164,300164,NotTwin
100178,200165,300165,NotTwin
100179,200166,300166,NotTwin
100180,200155,300155,NotTwin
100181,200167,300167,NotTwin
100182,200092,300092,NotTwin
100183,200157,300157,NotTwin
100184,200168,300168,NotTwin
100185,200169,300169,MZ
100186,200170,300170,NotTwin
100187,200065,300065,NotTwin
100188,200171,300171,NotTwin
100189,200172,300172,NotTwin
100190,200173,300173,NotMZ
100191,200174,300174,NotMZ
100192,200075,300075,NotTwin
100193,200142,300142,NotTwin
100194,200175,300175,NotMZ
100195,200119,300119,MZ
100196,200035,300035,NotTwin
100197,200176,300176,MZ
100198,200177,300177,MZ
100199,200178,300178,MZ
100200,200179,300179,NotMZ
100201,200180,300180,MZ
100202,200181,300181,NotTwin
100203,200182,300182,NotTwin
100204,200183,300183,NotMZ
100205,200184,300184,MZ
100206,200185,300185,NotMZ
100207,200186,300186,NotMZ
100208,200187,300187,MZ
100209,200188,300188,NotTwin
100210,200189,300189,NotMZ
100211,200083,300083,NotMZ
100212,200136,300136,NotMZ
100213,200190,300190,NotMZ
100214,200096,300096,MZ
100215,200191,300191,NotTwin
100216,200018,300018,NotTwin
100217,200192,300192,NotTwin
100218,200193,300193,NotTwin
100219,200194,300194,NotTwin
100220,200195,300195,NotMZ
100221,200196,300196,MZ
100222,200197,300197,NotTwin
100223,200198,300198,NotMZ
100224,200199,300199,NotTwin
100225,200200,300200,MZ
100226,200201,300201,NotTwin
100227,200202,300202,NotMZ
100228,200143,300143,MZ
100229,200095,300095,NotMZ
100230,200147,300147,NotMZ
100231,200203,300203,MZ
100232,200204,300204,NotTwin
100233,200053,300053,MZ
100234,200205,300205,MZ
100235,200206,300206,NotTwin
100236,200207,300207,NotTwin
100237,200208,300208,MZ
100238,200023,300023,NotMZ
100239,200209,300209,NotTwin
100240,200210,300210,NotTwin
100241,200211,300211,NotTwin
100242,200212,300212,NotTwin
100243,200213,300213,MZ
100244,200207,300207,NotTwin
100245,200214,300214,NotTwin
100246,200215,300215,NotTwin
100247,200216,300216,MZ
100248,200151,300151,NotTwin
100249,200217,300217,NotTwin
100250,200016,300016,NotTwin
100251,200141,300141,MZ
100252,200185,300185,NotMZ
100253,200195,300195,NotMZ
100254,200218,300218,MZ
100255,200219,300219,NotTwin
100256,200198,300198,NotMZ
100257,200220,300220,NotTwin
100258,200184,300184,MZ
100259,200039,300039,NotTwin
100260,200027,300027,NotMZ
100261,200206,300206,NotTwin
100262,200221,300221,NotTwin
100263,200203,300203,NotTwin
100264,200173,300173,NotMZ
100265,200101,300101,NotMZ
100266,200156,300156,NotTwin
100267,200222,300222,MZ
100268,200040,300040,NotMZ
100269,200165,300165,NotTwin
100270,200223,300223,NotMZ
100271,200224,300224,NotMZ
100272,200225,300225,NotTwin
100273,200226,300226,MZ
100274,200227,300227,NotMZ
100275,200072,300072,NotTwin
100276,200228,300228,MZ
100277,200229,300229,NotTwin
100278,200230,300230,NotTwin
100279,200231,300231,NotTwin
100280,200232,300232,NotTwin
100281,200233,300233,NotTwin
100282,200234,300234,NotTwin
100283,200235,300235,NotMZ
100284,200236,300236,NotTwin
100285,200048,300048,MZ
100286,200234,300234,NotTwin
100287,200148,300148,NotTwin
100288,200237,300237,MZ
100289,200238,300238,NotTwin
100290,200239,300239,NotTwin
100291,200240,300240,NotTwin
100292,200241,300241,NotTwin
100293,200242,300242,MZ
100294,200243,300243,NotTwin
100295,200130,300130,NotTwin
100296,200166,300166,NotTwin
100297,200244,300244,NotTwin
100298,200245,300245,MZ
100299,200049,300049,NotTwin
100300,200246,300246,MZ
100301,200247,300247,NotTwin
100302,200248,300248,NotTwin
100303,200131,300131,MZ
100304,200249,300249,NotTwin
100305,200250,300250,NotTwin
100306,200251,300251,NotMZ
100307,200252,300252,NotMZ
100308,200164,300164,NotTwin
100309,200253,300253,NotTwin
100310,200254,300254,NotTwin
100311,200255,300255,NotTwin
100312,200169,300169,MZ
100313,200256,300256,NotMZ
100314,200140,300140,NotTwin
100315,200052,300052,NotTwin
100316,200257,300257,NotMZ
100317,200258,300258,MZ
100318,200259,300259,NotTwin
100319,200247,300247,NotTwin
100320,200260,300260,NotMZ
100321,200261,300261,NotTwin
100322,200262,300262,NotMZ
100323,200248,300248,NotTwin
100324,200263,300263,NotMZ
100325,200264,300264,NotMZ
100326,200265,300265,NotTwin
100327,200064,300064,MZ
100328,200266,300266,NotMZ
100329,200267,300267,NotTwin
100330,200268,300268,NotTwin
100331,200269,300269,NotMZ
100332,200270,300270,NotTwin
100333,200271,300271,MZ
100334,200174,300174,NotMZ
100335,200272,300272,NotMZ
100336,200225,300225,NotTwin
100337,200024,300024,NotTwin
100338,200273,300273,NotTwin
100339,200145,300145,NotMZ
100340,200058,300058,NotTwin
100341,200274,300274,MZ
100342,200275,300275,NotTwin
100343,200196,300196,MZ
100344,200276,300276,NotTwin
100345,200277,300277,NotMZ
100346,200087,300087,MZ
100347,200278,300278,MZ
100348,200279,300279,MZ
100349,200194,300194,NotTwin
100350,200205,300205,MZ
100351,200280,300280,NotTwin
100352,200281,300281,MZ
100353,200282,300282,NotTwin
100354,200109,300109,NotMZ
100355,200283,300283,NotTwin
100356,200284,300284,NotTwin
100357,200285,300285,NotTwin
100358,200286,300286,NotMZ
100359,200287,300287,NotTwin
100360,200276,300276,NotTwin
100361,200288,300288,NotMZ
100362,200289,300289,NotMZ
100363,200230,300230,NotTwin
100364,200187,300187,MZ
100365,200290,300290,MZ
100366,200291,300291,NotTwin
100367,200292,300292,NotTwin
100368,200293,300293,NotMZ
100369,200242,300242,MZ
100370,200294,300294,NotTwin
100371,200295,300295,NotTwin
100372,200094,300094,NotTwin
100373,200296,300296,NotMZ
100374,200297,300297,MZ
100375,200298,300298,NotTwin
100376,200299,300299,NotTwin
100377,200186,300186,NotMZ
100378,200300,300300,MZ
100379,200301,300301,NotTwin
100380,200193,300193,NotTwin
100381,200302,300302,NotTwin
100382,200303,300303,NotTwin
100383,200304,300304,NotTwin
100384,200093,300093,NotTwin
100385,200305,300305,MZ
100386,200306,300306,NotTwin
100387,200307,300307,NotTwin
100388,200161,300161,NotTwin
100389,200308,300308,NotMZ
100390,200309,300309,NotTwin
100391,200310,300310,NotTwin
100392,200311,300311,NotTwin
100393,200312,300312,NotMZ
100394,200313,300313,MZ
100395,200302,300302,NotTwin
100396,200108,300108,NotTwin
100397,200314,300314,NotTwin
100398,200002,300002,NotMZ
100399,200315,300315,NotTwin
100400,200316,300316,MZ
100401,200253,300253,NotTwin
100402,200317,300317,MZ
100403,200318,300318,NotMZ
100404,200319,300319,MZ
100405,200320,300320,NotMZ
100406,200050,300050,NotMZ
100407,200238,300238,NotTwin
100408,200312,300312,NotMZ
100409,200245,300245,MZ
100410,200321,300321,NotTwin
100411,200209,300209,NotTwin
100412,200068,300068,NotTwin
100413,200227,300227,NotMZ
100414,200159,300159,NotTwin
100415,200026,300026,NotMZ
100416,200006,300006,NotTwin
100417,200322,300322,MZ
100418,200266,300266,NotMZ
100419,200297,300297,MZ
100420,200237,300237,MZ
100421,200323,300323,NotTwin
100422,200324,300324,MZ
100423,200066,300066,NotTwin
100424,200204,300204,NotTwin
100425,200325,300325,NotTwin
100426,200326,300326,NotTwin
100427,200280,300280,NotTwin
100428,200327,300327,NotTwin
100429,200328,300328,NotMZ
100430,200288,300288,NotMZ
100431,200289,300289,NotMZ
100432,200283,300283,NotTwin
100433,200287,300287,NotTwin
100434,200285,300285,NotTwin
100435,200182,300182,NotTwin
100436,200329,300329,MZ
100437,200330,300330,NotTwin
100438,200090,300090,NotMZ
100439,200331,300331,NotMZ
100440,200332,300332,MZ
100441,200333,300333,NotTwin
100442,200334,300334,MZ
100443,200335,300335,MZ
100444,200336,300336,NotTwin
100445,200337,300337,NotTwin
100446,200338,300338,NotMZ
100447,200046,300046,NotTwin
100448,200197,300197,NotTwin
100449,200229,300229,NotTwin
100450,200331,300331,NotMZ
100451,200339,300339,MZ
100452,200307,300307,NotTwin
100453,200340,300340,NotMZ
100454,200341,300341,NotTwin
100455,200342,300342,NotTwin
100456,200089,300089,NotTwin
100457,200191,300191,NotTwin
100458,200343,300343,MZ
100459,200344,300344,NotMZ
100460,200345,300345,MZ
100461,200126,300126,MZ
100462,200346,300346,MZ
100463,200347,300347,NotTwin
100464,200348,300348,NotTwin
100465,200146,300146,NotMZ
100466,200349,300349,MZ
100467,200350,300350,MZ
100468,200120,300120,NotTwin
100469,200282,300282,NotTwin
100470,200351,300351,NotMZ
100471,200005,300005,NotMZ
100472,200239,300239,NotTwin
100473,200352,300352,NotMZ
100474,200353,300353,NotTwin
100475,200349,300349,MZ
100476,200335,300335,MZ
100477,200354,300354,NotTwin
100478,200192,300192,NotTwin
100479,200117,300117,NotMZ
100480,200355,300355,NotMZ
100481,200311,300311,NotTwin
100482,200241,300241,NotTwin
100483,200324,300324,MZ
100484,200295,300295,NotTwin
100485,200260,300260,NotMZ
100486,200356,300356,NotMZ
100487,200357,300357,NotMZ
100488,200358,300358,NotTwin
100489,200359,300359,NotMZ
100490,200138,300138,NotTwin
100491,200078,300078,MZ
100492,200199,300199,NotTwin
100493,200047,300047,MZ
100494,200091,300091,MZ
100495,200045,300045,MZ
100496,200298,300298,NotTwin
100497,200360,300360,NotTwin
100498,200118,300118,MZ
100499,200361,300361,NotTwin
100500,200110,300110,NotMZ
100501,200362,300362,MZ
100502,200315,300315,NotTwin
100503,200363,300363,NotTwin
100504,200364,300364,NotTwin
100505,200365,300365,NotTwin
100506,200082,300082,NotTwin
100507,200366,300366,NotTwin
100508,200310,300310,NotTwin
100509,200222,300222,MZ
100510,200158,300158,NotMZ
100511,200228,300228,MZ
100512,200256,300256,NotMZ
100513,200367,300367,NotTwin
100514,200123,300123,MZ
100515,200368,300368,NotTwin
100516,200369,300369,MZ
100517,200300,300300,MZ
100518,200370,300370,MZ
100519,200170,300170,NotTwin
100520,200017,300017,NotTwin
100521,200371,300371,NotMZ
100522,200372,300372,NotMZ
100523,200373,300373,MZ
100524,200374,300374,NotMZ
100525,200051,300051,NotMZ
100526,200284,300284,NotTwin
100527,200375,300375,NotMZ
100528,200376,300376,NotMZ
100529,200377,300377,MZ
100530,200314,300314,NotTwin
100531,200211,300211,NotTwin
100532,200305,300305,MZ
100533,200290,300290,MZ
100534,200318,300318,NotMZ
100535,200244,300244,NotTwin
100536,200258,300258,MZ
100537,200059,300059,NotTwin
100538,200378,300378,NotTwin
100539,200379,300379,NotMZ
100540,200380,300380,NotTwin
100541,200381,300381,NotMZ
100542,200098,300098,MZ
100543,200036,300036,NotTwin
100544,200382,300382,NotTwin
100545,200139,300139,MZ
100546,200235,300235,NotMZ
100547,200362,300362,MZ
100548,200344,300344,NotMZ
100549,200067,300067,NotMZ
100550,200383,300383,NotTwin
100551,200274,300274,MZ
100552,200384,300384,NotTwin
100553,200105,300105,MZ
100554,200261,300261,NotTwin
100555,200385,300385,NotTwin
100556,200386,300386,NotTwin
100557,200291,300291,NotTwin
100558,200387,300387,NotTwin
100559,200273,300273,NotTwin
100560,200388,300388,NotMZ
100561,200299,300299,NotTwin
100562,200389,300389,NotTwin
100563,200390,300390,NotMZ
100564,200224,300224,NotMZ
100565,200391,300391,MZ
100566,200203,300203,MZ
100567,200388,300388,NotMZ
100568,200392,300392,NotTwin
100569,200071,300071,MZ
100570,200393,300393,NotMZ
100571,200391,300391,MZ
100572,200394,300394,NotMZ
100573,200395,300395,NotTwin
100574,200396,300396,NotTwin
100575,200397,300397,NotMZ
100576,200398,300398,NotTwin
100577,200399,300399,NotMZ
100578,200400,300400,MZ
100579,200364,300364,NotTwin
100580,200265,300265,NotTwin
100581,200401,300401,NotTwin
100582,200375,300375,NotMZ
100583,200332,300332,MZ
100584,200402,300402,NotTwin
100585,200011,300011,NotTwin
100586,200212,300212,NotTwin
100587,200213,300213,MZ
100588,200403,300403,NotTwin
100589,200055,300055,NotTwin
100590,200369,300369,MZ
100591,200041,300041,NotMZ
100592,200034,300034,MZ
100593,200404,300404,NotTwin
100594,200328,300328,NotMZ
100595,200405,300405,NotTwin
100596,200403,300403,NotTwin
100597,200249,300249,NotTwin
100598,200406,300406,NotMZ
100599,200367,300367,NotTwin
100600,200178,300178,MZ
100601,200407,300407,NotTwin
100602,200408,300408,NotTwin
100603,200409,300409,NotMZ
100604,200129,300129,NotTwin
100605,200124,300124,MZ
100606,200210,300210,NotTwin
100607,200410,300410,MZ
100608,200411,300411,NotTwin
100609,200015,300015,NotTwin
100610,200411,300411,NotTwin
100611,200183,300183,NotMZ
100612,200412,300412,NotMZ
100613,200260,300260,NotMZ
100614,200029,300029,MZ
100615,200088,300088,NotTwin
100616,200056,300056,NotTwin
100617,200413,300413,NotTwin
100618,200395,300395,NotTwin
100619,200153,300153,MZ
100620,200414,300414,NotTwin
100621,200415,300415,MZ
100622,200327,300327,NotTwin
100623,200232,300232,NotTwin
100624,200263,300263,NotMZ
100625,200405,300405,NotTwin
100626,200330,300330,NotTwin
100627,200416,300416,NotMZ
100628,200329,300329,MZ
100629,200236,300236,NotTwin
100630,200077,300077,NotTwin
100631,200417,300417,MZ
100632,200350,300350,MZ
100633,200337,300337,NotTwin
100634,200180,300180,MZ
100635,200218,300218,MZ
100636,200272,300272,NotMZ
100637,200418,300418,NotMZ
100638,200217,300217,NotTwin
100639,200080,300080,NotTwin
100640,200379,300379,NotMZ
100641,200190,300190,NotMZ
100642,200419,300419,NotMZ
100643,200267,300267,NotTwin
100644,200264,300264,NotMZ
100645,200063,300063,NotMZ
100646,200070,300070,NotMZ
100647,200208,300208,MZ
100648,200008,300008,NotMZ
100649,200104,300104,MZ
