n,MotherID,FatherID,Zygosity
100206,56037,85858,NotTwin
100307,51488,81352,MZ
100408,51730,81594,MZ
100610,52813,82634,NotMZ
101006,51283,81149,NotTwin
101107,51969,81833,NotTwin
101309,52385,82248,NotTwin
101410,52198,82061,NotTwin
101915,51977,81841,NotTwin
102008,52018,81882,NotTwin
102109,52901,82723,NotTwin
102311,51679,81543,MZ
102513,56077,85897,NotTwin
102614,52838,82659,NotTwin
102715,51469,81334,NotTwin
102816,51418,81283,MZ
103010,55895,85715,MZ
103111,51351,81216,NotTwin
103212,56105,85925,NotTwin
103414,52198,82061,NotTwin
103515,51537,81401,NotMZ
103818,51343,81208,MZ
104012,51678,81542,MZ
104416,54643,84465,MZ
104820,51283,81149,NotTwin
105014,51451,81316,NotMZ
105115,51820,81684,MZ
105216,51527,81391,NotTwin
105620,55695,85517,NotTwin
105923,52925,82747,NotTwin
106016,52134,81998,MZ
106319,51527,81391,NotTwin
106521,51468,81333,NotMZ
106824,56183,86002,NotMZ
107018,51676,81540,MZ
107321,52493,82328,NotTwin
107422,54628,84450,MZ
107725,52921,82743,NotTwin
108020,56200,86019,NotMZ
108222,52925,82747,NotTwin
108323,51553,81417,NotMZ
108525,52586,99991,NotTwin
108828,52054,81918,NotTwin
109123,51750,81614,NotMZ
109325,52270,82133,NotTwin
109830,54606,84428,NotTwin
110007,54572,84394,MZ
110411,51303,81168,NotTwin
110613,56094,85914,NotTwin
111009,51495,81359,MZ
111211,55741,85562,NotMZ
111312,51381,81246,MZ
111413,51476,81340,NotMZ
111514,51750,81614,NotMZ
111716,52076,81940,NotTwin
112112,52662,82481,NotTwin
112314,53251,83073,NotTwin
112516,51340,81205,MZ
112819,51451,81316,NotMZ
112920,51798,81662,NotTwin
113215,51424,81289,NotTwin
113316,55895,85715,MZ
113417,52332,82195,MZ
113619,51750,81614,NotTwin
113821,52110,81974,NotTwin
113922,51752,81616,MZ
114116,51433,81298,NotTwin
114217,55703,85525,NotMZ
114318,51989,81853,NotTwin
114419,52872,82694,NotTwin
114621,53303,83125,NotTwin
114823,99996,99997,NotTwin
114924,51354,82525,NotMZ
115017,52158,82021,MZ
115219,52823,82644,NotTwin
115320,51305,81170,MZ
115724,53251,83073,NotTwin
115825,56016,85837,MZ
116120,51320,81185,NotTwin
116221,55892,85712,MZ
116423,52757,82578,MZ
116524,52769,82590,MZ
116726,55793,85614,MZ
117021,52345,82208,MZ
117324,51529,82672,NotTwin
117930,56120,85940,NotTwin
118023,51676,81540,MZ
118124,51421,81286,NotTwin
118225,52813,82634,NotMZ
118528,52514,99995,NotTwin
118730,51419,81284,NotTwin
118831,56187,86006,MZ
118932,51295,81161,NotTwin
119025,56034,85855,NotTwin
119126,52063,81927,NotTwin
119732,55701,85523,NotTwin
119833,51486,81350,NotMZ
120010,53171,82993,NotTwin
120111,51476,81340,NotMZ
120212,51324,81189,NotMZ
120414,51618,81482,NotTwin
120515,52468,82308,NotTwin
120717,55706,85528,NotTwin
121315,52410,99979,NotTwin
121416,51945,81809,NotTwin
121618,52907,82729,NotTwin
121820,51421,81286,NotTwin
121921,51673,81537,NotTwin
122317,51802,81666,NotTwin
122620,51392,81257,NotTwin
122822,51318,81183,NotMZ
123117,52496,82331,NotTwin
123420,51916,81780,NotTwin
123521,56073,85894,NotMZ
123723,51106,80975,MZ
123824,56022,85843,NotTwin
123925,51644,81508,NotMZ
124422,51529,81393,MZ
124624,51798,81662,NotTwin
124826,51351,81216,NotMZ
125222,51837,81701,NotTwin
125424,56094,85914,NotMZ
125525,51304,81169,MZ
126325,51477,81341,MZ
126426,55646,85468,MZ
126628,52338,82201,NotTwin
127226,55892,85712,MZ
127327,52228,82091,NotTwin
127630,52526,82359,NotTwin
127731,51529,81393,MZ
127832,51300,81166,NotMZ
127933,51831,81695,NotTwin
128026,56150,85970,NotTwin
128127,51593,81457,NotTwin
128329,52875,82697,NotTwin
128632,51347,81212,MZ
128935,51707,81571,MZ
129028,51833,81697,MZ
129129,51678,81542,NotTwin
129331,52194,82057,NotTwin
129634,52069,81933,NotTwin
129937,55705,85527,MZ
130013,51478,81342,NotTwin
